Name,CNSig1,CNSig2,CNSig3,CNSig4,CNSig5,CNSig6
OK001,0.329516198,0.061035925,0.354158191,0.182677624,0.038192922,0.03441914
OK002,0,0,0.884885055,0,0,0.115114945
OK003,0.318620874,0.022153066,0.390974237,0.09871844,0.086408311,0.083125072
OK004,0.44901105,0.076789669,0.151384547,0,0.322814734,0
OK005,0.010783375,0,0.415180938,0,0,0.574035687
OK006,0,0,0.0220279,0,0,0.9779721
OK007,0.050426843,0,0.949573157,0,0,0
OK008,0.730223482,0.067638603,0,0.032121864,0.11323288,0.05678317
OK009,0.418620583,0,0.212382774,0.04830735,0.281916656,0.038772638
OK010,0.066534586,0.016148333,0.207633392,0,0.624272632,0.085411058
OK011,0.156784306,0.073699228,0.330740873,0.088163125,0.291340635,0.059271833
OK012,0.085663029,0.032069253,0.497977552,0.135128336,0.249161829,0
OK013,0.277191385,0.022503608,0.227686187,0.154485911,0.150074919,0.168057989
OK014,0.361135687,0.375985011,0.159487323,0.083521725,0.019870255,0
OK015,0.600684924,0.103077753,0.031985366,0,0.138703022,0.125548936
OK016,0.658806044,0.094123298,0.029710677,0,0.163404211,0.053955771
OK017,0,0,0.33656917,0.171553768,0.068875583,0.42300148
OK018,0.152564708,0.207854577,0.425049737,0.116922566,0.097608412,0
OK019,0.182038699,0.019778374,0.148927455,0,0.649255472,0
OK020,0.263225699,0.171391185,0.344103828,0.100778531,0.034866087,0.085634669
OK021,0.04121888,0.166549065,0.317956252,0.09418018,0.010809041,0.369286581
OK022,0.216561557,0,0.354246765,0.164139954,0.056462485,0.20858924
OK023,0,0,0,0.068626764,0.093244286,0.838128949
OK024,0,0,0,0.085092721,0.063813188,0.851094092
OK025,0.146597723,0.039800841,0.363946034,0.189838562,0.030975251,0.228841589
OK026,0,0,0.613462384,0,0,0.386537616
OK027,0.147769296,0.069336463,0.32272727,0.189465067,0.026146812,0.244555092
OK028,0,0,0.207663706,0.089793915,0.18529089,0.517251489
OK029,0.183012975,0,0.318472235,0.148609051,0.155431012,0.194474727
OK030,0.063937318,0.241544223,0.412720745,0.119398038,0,0.162399676
OK031,0.112527243,0.098721185,0.518849371,0.18106914,0.054325142,0.034507919
OK032,0.140688172,0,0.305504713,0.188612051,0,0.365195063
OK033,0.235747976,0.433152933,0.254678796,0.064668346,0,0.011751949
OK034,0.318434073,0.127349322,0.233510008,0.169318871,0,0.151387726
OK035,0.070382816,0.027440725,0.25907925,0.032752829,0.493947847,0.116396532
OK036,0,0.139186468,0.076850546,0.118315511,0.049780065,0.61586741
OK037,0.213977672,0.490971183,0.146543566,0,0.090293615,0.058213965
OK038,0,0,0,0.051590597,0.064512626,0.883896777
OK039,0,0,0,0,0,1
OK040,0,0.296828801,0.36960413,0.123059627,0.024295985,0.186211457
OK041,0.048656048,0.438500037,0.410745907,0,0,0.102098008
OK042,NA,NA,NA,NA,NA,NA
OK043,NA,NA,NA,NA,NA,NA
OK044,NA,NA,NA,NA,NA,NA
OK045,0,0.036544057,0,0,0,0.963455943
OK046,0.308878062,0.035244601,0.316444453,0.216887926,0.122544958,0
OK047,0.646864464,0.108587317,0.049562777,0.110674555,0.084310887,0
OK048,NA,NA,NA,NA,NA,NA
OK049,NA,NA,NA,NA,NA,NA
OK050,0.070565827,0,0.193630445,0.160113677,0.112316475,0.463373575
OK051,NA,NA,NA,NA,NA,NA
OK052,0,0.333658631,0.203132457,0.077480396,0.073059221,0.312669295
OK053,0.071410284,0,0.298595906,0.126201265,0.072094653,0.431697893
OK056,NA,NA,NA,NA,NA,NA
OK057,0.014165571,0,0.714663545,0,0,0.271170884
OK059,0,0,0.071284226,0.07750385,0.18135205,0.669859874
OK060,NA,NA,NA,NA,NA,NA
OK063,0,0.398427366,0.29404893,0.029858454,0.076561821,0.201103428
OK065,NA,NA,NA,NA,NA,NA
OK068,0,0.256980305,0.20681529,0.042623544,0.05023808,0.443342781
OK069,0.020433516,0.153586031,0.272171539,0.158256294,0.069481893,0.326070727
OK076,NA,NA,NA,NA,NA,NA
OK078,0,0.036544057,0,0,0,0.963455943
OK080,0.315824373,0.114399541,0.189512078,0.160075697,0.066930747,0.153257565
OK083,NA,NA,NA,NA,NA,NA
OK087,0.286835512,0.351445219,0.240726814,0.076033767,0.034250991,0.010707697
OK090,0.021162449,0.189737285,0.32888322,0.15419816,0.011555029,0.294463858
OK094,0.245660749,0,0.470719961,0.174720804,0.084329481,0.024569005
OK095,0,0,0,0.064857469,0.179682228,0.755460302
OK097,0.101501856,0.042095291,0.257365941,0.091447161,0.227510053,0.280079698
OK098,NA,NA,NA,NA,NA,NA
OK099,0.141423625,0,0.34193702,0.145311851,0.192601383,0.178726121
OK100,0.022711581,0.437623507,0.288794652,0.087070974,0.055182148,0.108617139
OK101,0.53406376,0.121141386,0.063596958,0.118629038,0.114979688,0.047589169
