Name,chr9_p,chr9_q,chr12_q
OK001,-0.052047051,-0.052047051,-0.024935641
OK002,-0.011120734,0.007469255,-0.045162412
OK003,-0.104531432,-0.104531432,-0.034316426
OK004,-0.251263985,0.062297457,-0.112562101
OK005,-0.221849372,0.279,0.146
OK006,-0.090856182,-0.090856182,-0.03
OK007,-0.516481881,0.008,-0.060361063
OK008,-0.263031358,-0.132036415,-0.01738137
OK009,-0.340933188,0.05083806,-0.024460456
OK010,-0.046,-0.046,0.000392938
OK011,0.333649768,0.25331873,0.024090038
OK012,-0.251,-0.041906309,0.008693728
OK013,-0.419,0.313,0.117042767
OK014,-0.012900701,-0.012900701,0.069515305
OK015,-0.04,-0.04,0.296392112
OK016,-0.265357712,-0.236,0.098236428
OK017,-0.036,-0.036,0.004767211
OK018,-0.353,0.02,-0.017641467
OK019,-0.513287411,-0.009760592,0.00311708
OK020,-0.172921508,-0.039081141,0.243818978
OK021,-0.046,-0.046,0.119212575
OK022,0.44924399,0.01,0.259822636
OK023,-0.307853093,-0.302,-0.003
OK024,-0.022,-0.022,0.005
OK025,-0.043615291,-0.348,0.265510295
OK026,0.011348518,0.054891434,0.135071856
OK027,-0.748,-0.004,-0.00448533
OK028,0.02556392,0.02556392,0.042
OK029,0.158972415,0.06304177,0.165707807
OK030,-0.273,-0.273,-0.028659195
OK031,-0.121,-0.04577733,-0.011337121
OK032,-0.013,-0.013,0.059
OK033,0.067609339,0.093,0.10883317
OK034,-0.327409302,0.202,-0.068118961
OK035,0.105614233,-0.061,0.009
OK036,-0.375,-0.195323342,0.001
OK037,-0.080444152,0.036076087,0.232389918
OK038,0.007,0.007,0.001
OK039,0.006,0.006,0.001
OK040,-0.232,-0.002,-0.001
OK041,-0.253569453,-0.247,-0.007453996
OK042,NA,NA,NA
OK043,NA,NA,NA
OK044,NA,NA,NA
OK045,0.005186215,0.005186215,0.006
OK046,0.257507483,-0.001,0.167570356
OK047,-0.127829431,-0.009787186,0.018986049
OK048,NA,NA,NA
OK049,NA,NA,NA
OK050,0.138191337,0.203788447,-0.076
OK051,NA,NA,NA
OK052,-0.335,-0.122496063,-0.036392956
OK053,-0.212,-0.108966316,-0.001
OK056,NA,NA,NA
OK057,-0.339,-0.339,0.049495932
OK059,0.001,0.001,-0.006
OK060,NA,NA,NA
OK063,-0.14637784,-0.015,-0.005
OK065,NA,NA,NA
OK068,-0.046075598,0.087273374,-0.003
OK069,0.034322874,0.076120807,0.013
OK076,NA,NA,NA
OK078,0.003,0.003,-0.005
OK080,-0.18139797,-0.207,-0.191734742
OK083,NA,NA,NA
OK087,-0.439295483,-0.221166267,-0.009846409
OK090,-0.523,-0.221,-0.199
OK094,-0.168943005,-0.036309357,-0.007182107
OK095,-0.001,-0.001,-0.00142515
OK097,-0.080339493,0.052955746,0.009
OK098,NA,NA,NA
OK099,-0.234354915,-0.034194784,0.190605854
OK100,-0.436612378,-0.369,0.073399081
OK101,-0.265465696,-0.243,0.221039039
OK102,0.152200001,-0.001,0.030205838
OK103,-0.007730114,-0.007730114,0.039378903
OK104,NA,NA,NA
OK105,-0.492,-0.492,0.183072458
OK106,-0.590751864,-0.564,0.406
OK108,NA,NA,NA
OK109,-0.310645072,-0.042626608,-0.026514352
OK110,NA,NA,NA
OK111,NA,NA,NA
OK112,-0.017,-0.024414704,-0.220200717
OK113,NA,NA,NA
OK114,-0.291,-0.106386385,-0.069585128
OK115,-0.633189239,-0.608,-0.001
OK118,-0.786284969,-0.427,0.197727195
OK119,0.221,0.221,0.062
OK120,NA,NA,NA
OK121,NA,NA,NA
OK122,NA,NA,NA
OK123,NA,NA,NA
OK124,-0.189277914,-0.049728476,0.002
OK125,-0.019,-0.019,-0.012
OK126,-0.663191009,0.415,0.002
OK127,0.008,0.008,0.001
OK128,-0.777530932,-0.732,0.105964072
OK129,-0.463,-0.043,0.123125602
OK130,-0.36397159,-0.36397159,-0.05710014
OK131,-0.620997391,-0.162253222,-0.249721725
OK132,-0.349,-0.016,-0.007726858
OK133,0.00475142,0.00475142,0.012577096
OK134,-0.309822522,0.021234271,0.038970527
OK135,0.003775108,0.003775108,0.020407796
OK136,-0.719445595,0.280130352,-0.060978237
OK137,-0.15173152,0.208316713,-0.324613852
OK138,NA,NA,NA
OK139,-0.865336768,0.421795129,-0.131299821
OK140,-0.327427381,-0.286,-0.058253774
OK141,0.011702984,0.011702984,0.033385984
OK142,-0.084379234,-0.004140006,0.086769611
OK143,-0.388222806,0.007,-0.185911288
