sample	chromosome	start	end	segVal
OK001	1	900001	3.3e+07	2
OK001	1	33000001	33300000	5
OK001	1	33300001	119700000	2
OK001	1	119700001	149200000	3
OK001	1	149900001	155300000	4
OK001	1	155300001	171100000	2
OK001	1	171100001	249200000	3
OK001	2	100001	99800000	2
OK001	2	99800001	105500000	2
OK001	2	105500001	142800000	2
OK001	2	142800001	238500000	2
OK001	2	238600001	2.43e+08	3
OK001	3	100001	4.5e+07	1
OK001	3	45000001	46400000	2
OK001	3	46400001	63700000	1
OK001	3	63700001	90200000	0
OK001	3	93600001	139800000	2
OK001	3	139800001	197800000	5
OK001	4	100001	4300000	2
OK001	4	4300001	36300000	1
OK001	4	36300001	3.8e+07	3
OK001	4	38000001	44200000	1
OK001	4	44200001	4.5e+07	3
OK001	4	45000001	4.9e+07	1
OK001	4	52700001	190800000	2
OK001	5	100001	49900000	2
OK001	5	50000001	71500000	1
OK001	5	71500001	93100000	2
OK001	5	93100001	96600000	1
OK001	5	96600001	180700000	2
OK001	6	400001	23200000	0
OK001	6	23200001	41400000	2
OK001	6	41400001	51700000	0
OK001	6	51800001	170900000	2
OK001	7	1	65300000	3
OK001	7	65300001	67300000	2
OK001	7	67300001	75900000	2
OK001	7	75900001	159100000	2
OK001	8	400001	81900000	2
OK001	8	81900001	138300000	3
OK001	8	138300001	144600000	4
OK001	8	144600001	146200000	3
OK001	9	200001	32700000	1
OK001	9	32700001	3.3e+07	3
OK001	9	33000001	71100000	1
OK001	9	71100001	8.7e+07	3
OK001	9	87000001	88300000	3
OK001	9	88300001	91200000	3
OK001	9	91200001	95300000	3
OK001	9	95300001	9.7e+07	4
OK001	9	97000001	1.41e+08	3
OK001	10	100001	37700000	1
OK001	10	37900001	71800000	2
OK001	10	71800001	72900000	3
OK001	10	72900001	80400000	2
OK001	10	80400001	81400000	12
OK001	10	81700001	107200000	1
OK001	10	107200001	111300000	2
OK001	10	111400001	113300000	4
OK001	10	113300001	1.27e+08	3
OK001	10	127000001	127500000	4
OK001	10	127600001	135400000	2
